,ID1,ID2,end_time,start_time
1757,1227,1337,9500,9420
666,1080,1191,9700,9640
666,1191,1080,9700,9640
1604,1336,1179,9720,9660
1604,1179,1336,9720,9660
1313,1189,1138,9980,9820
1313,1138,1189,9980,9820
1325,1138,1336,10120,10040
1325,1336,1138,10120,10040
1561,1179,1177,10120,10060
1561,1177,1179,10120,10060
1673,1212,1198,10200,10080
1673,1198,1212,10200,10080
1593,1189,1179,10260,10140
1593,1179,1189,10260,10140
46,1042,1032,10280,10220
46,1032,1042,10280,10220
1594,1179,1189,10360,10300
1594,1189,1179,10360,10300
47,1042,1032,10600,10520
47,1032,1042,10600,10520
1300,1138,1166,10900,10820
1300,1166,1138,10900,10820
1319,1138,1199,11220,11160
1319,1199,1138,11220,11160
48,1042,1032,11580,11360
48,1032,1042,11580,11360
1595,1189,1179,11760,11680
1595,1179,1189,11760,11680
1674,1198,1228,12060,11900
1674,1228,1198,12060,11900
748,1086,1135,12020,11960
1717,1206,1227,12020,11960
748,1135,1086,12020,11960
1717,1227,1206,12020,11960
49,1042,1032,12760,12640
49,1032,1042,12760,12640
1047,1127,1126,13040,12880
1047,1126,1127,13040,12880
1027,1125,1336,13380,13320
1027,1336,1125,13380,13320
1326,1138,1336,13440,13380
1326,1336,1138,13440,13380
861,1191,1103,13660,13540
861,1103,1191,13660,13540
182,1138,1040,13960,13680
182,1040,1138,13960,13680
491,1336,1067,13760,13700
491,1067,1336,13760,13700
862,1103,1191,13780,13720
862,1191,1103,13780,13720
1779,1336,1337,13820,13760
1663,1193,1206,13820,13760
1663,1206,1193,13820,13760
1779,1337,1336,13820,13760
1764,1229,1360,13840,13780
1166,1133,1189,13840,13780
543,1360,1073,13840,13780
1764,1360,1229,13840,13780
543,1073,1360,13840,13780
1166,1189,1133,13840,13780
1232,1155,1135,13880,13820
1232,1135,1155,13880,13820
207,1334,1040,13960,13900
207,1040,1334,13960,13900
1753,1214,1360,14100,13980
1753,1360,1214,14100,13980
183,1138,1040,14180,14000
183,1040,1138,14180,14000
200,1040,1189,14260,14100
200,1189,1040,14260,14100
1759,1228,1336,14180,14120
1759,1336,1228,14180,14120
483,1228,1067,14280,14160
483,1067,1228,14280,14160
899,1125,1105,14320,14200
899,1105,1125,14320,14200
1789,1337,1360,14340,14220
1789,1360,1337,14340,14220
624,1228,1075,14400,14280
624,1075,1228,14400,14280
623,1208,1075,14440,14300
623,1075,1208,14440,14300
715,1358,1080,14560,14320
715,1080,1358,14560,14320
1401,1198,1146,14480,14340
1401,1146,1198,14480,14340
201,1189,1040,14500,14400
201,1040,1189,14500,14400
763,1228,1089,14680,14420
763,1089,1228,14680,14420
1101,1126,1198,14620,14560
1101,1198,1126,14620,14560
374,1191,1053,14700,14580
1138,1127,1198,14640,14580
374,1053,1191,14700,14580
1138,1198,1127,14640,14580
1606,1181,1189,14760,14600
716,1080,1358,14700,14600
1606,1189,1181,14760,14600
716,1358,1080,14700,14600
900,1105,1125,14680,14620
900,1125,1105,14680,14620
981,1143,1125,14720,14640
981,1125,1143,14720,14640
321,1212,1049,14800,14740
321,1049,1212,14800,14740
435,1067,1082,14920,14780
435,1082,1067,14920,14780
202,1189,1040,14920,14860
202,1040,1189,14920,14860
664,1080,1181,15200,15100
664,1181,1080,15200,15100
1167,1133,1189,15280,15160
1167,1189,1133,15280,15160
315,1049,1189,15300,15160
315,1189,1049,15300,15160
1608,1336,1181,15240,15180
1608,1181,1336,15240,15180
494,1359,1067,15320,15260
494,1067,1359,15320,15260
1168,1133,1189,15380,15320
1168,1189,1133,15380,15320
175,1080,1040,15420,15360
208,1040,1336,15560,15360
208,1336,1040,15560,15360
175,1040,1080,15420,15360
203,1040,1199,15560,15440
203,1199,1040,15560,15440
1680,1199,1336,15560,15500
1680,1336,1199,15560,15500
1327,1138,1336,15660,15560
1327,1336,1138,15660,15560
1169,1133,1189,15680,15600
1169,1189,1133,15680,15600
415,1063,1336,16640,15740
415,1336,1063,16640,15740
204,1199,1040,15920,15840
204,1040,1199,15920,15840
1681,1336,1199,15920,15860
1681,1199,1336,15920,15860
179,1117,1040,16100,16040
179,1040,1117,16100,16040
960,1117,1336,16160,16080
960,1336,1117,16160,16080
193,1143,1040,16340,16140
193,1040,1143,16340,16140
176,1080,1040,16260,16200
176,1040,1080,16260,16200
961,1117,1336,16680,16560
961,1336,1117,16680,16560
184,1040,1138,16800,16640
184,1138,1040,16800,16640
655,1080,1143,17700,17620
655,1143,1080,17700,17620
185,1040,1138,17980,17900
185,1138,1040,17980,17900
637,1080,1117,18320,18260
637,1117,1080,18320,18260
186,1040,1138,18840,18300
186,1138,1040,18840,18300
401,1080,1061,18480,18400
401,1061,1080,18480,18400
187,1040,1138,19280,18880
187,1138,1040,19280,18880
1765,1229,1360,18980,18920
1765,1360,1229,18980,18920
177,1088,1040,19040,18980
177,1040,1088,19040,18980
1553,1171,1337,19220,19040
1679,1199,1334,19100,19040
1679,1334,1199,19100,19040
1553,1337,1171,19220,19040
294,1228,1047,19180,19120
294,1047,1228,19180,19120
656,1143,1080,19280,19160
656,1080,1143,19280,19160
1685,1199,1359,19240,19180
1685,1359,1199,19240,19180
539,1073,1337,19280,19220
539,1337,1073,19280,19220
519,1171,1073,19280,19220
519,1073,1171,19280,19220
1769,1334,1359,19320,19240
1769,1359,1334,19320,19240
536,1073,1336,19360,19260
536,1336,1073,19360,19260
1230,1360,1133,19360,19300
1230,1133,1360,19360,19300
1551,1171,1336,19400,19340
1551,1336,1171,19400,19340
1780,1336,1337,19400,19340
1780,1337,1336,19400,19340
188,1138,1040,19420,19360
188,1040,1138,19420,19360
1781,1336,1358,19460,19400
1781,1358,1336,19460,19400
383,1208,1053,19500,19440
383,1053,1208,19500,19440
863,1191,1103,19600,19460
863,1103,1191,19600,19460
1729,1336,1212,19560,19500
1729,1212,1336,19560,19500
1150,1131,1171,19580,19520
1150,1171,1131,19580,19520
1725,1213,1210,19660,19540
1725,1210,1213,19660,19540
1726,1210,1213,19800,19720
1726,1213,1210,19800,19720
864,1103,1191,20100,19760
991,1181,1125,19860,19760
864,1191,1103,20100,19760
991,1125,1181,19860,19760
1028,1125,1336,19940,19800
431,1065,1360,19880,19800
1609,1181,1336,19860,19800
1609,1336,1181,19860,19800
1028,1336,1125,19940,19800
431,1360,1065,19880,19800
322,1049,1212,20100,19860
322,1212,1049,20100,19860
693,1080,1337,19960,19880
693,1337,1080,19960,19880
756,1089,1142,20300,20000
1738,1341,1213,20080,20000
1738,1213,1341,20080,20000
756,1142,1089,20300,20000
1624,1212,1189,20580,20040
1624,1189,1212,20580,20040
1058,1146,1126,20160,20060
1058,1126,1146,20160,20060
189,1040,1138,20380,20080
189,1138,1040,20380,20080
1385,1212,1143,20220,20100
916,1105,1143,20200,20100
1383,1143,1189,20440,20100
916,1143,1105,20200,20100
1385,1143,1212,20220,20100
1383,1189,1143,20440,20100
942,1105,1212,20240,20100
942,1212,1105,20240,20100
1402,1146,1198,20620,20120
432,1360,1065,20180,20120
1402,1198,1146,20620,20120
432,1065,1360,20180,20120
323,1049,1212,20580,20140
323,1212,1049,20580,20140
1139,1198,1127,20260,20160
1139,1127,1198,20260,20160
316,1049,1189,20320,20200
865,1103,1191,20260,20200
865,1191,1103,20260,20200
1059,1146,1126,20260,20200
316,1189,1049,20320,20200
1059,1126,1146,20260,20200
180,1040,1133,20380,20220
180,1133,1040,20380,20220
1637,1208,1191,20900,20240
1637,1191,1208,20900,20240
1562,1191,1177,21940,20260
1562,1177,1191,21940,20260
384,1208,1053,21020,20280
384,1053,1208,21020,20280
433,1065,1360,20460,20300
375,1191,1053,20420,20300
943,1105,1212,20360,20300
433,1360,1065,20460,20300
375,1053,1191,20420,20300
943,1212,1105,20360,20300
1151,1133,1138,20420,20320
1151,1138,1133,20420,20320
937,1189,1105,20440,20340
917,1143,1105,20440,20340
937,1105,1189,20440,20340
917,1105,1143,20440,20340
317,1049,1189,20580,20440
887,1208,1103,20500,20440
901,1125,1105,20620,20440
317,1189,1049,20580,20440
901,1105,1125,20620,20440
887,1103,1208,20500,20440
847,1177,1103,20520,20440
866,1103,1191,21040,20440
866,1191,1103,21040,20440
1607,1189,1181,20600,20440
1607,1181,1189,20600,20440
847,1103,1177,20520,20440
1378,1143,1181,20620,20460
1378,1181,1143,20620,20460
552,1089,1075,20560,20480
918,1143,1105,20540,20480
552,1075,1089,20560,20480
918,1105,1143,20540,20480
561,1075,1142,20820,20480
561,1142,1075,20820,20480
1384,1143,1189,20560,20500
1384,1189,1143,20560,20500
938,1189,1105,20600,20520
938,1105,1189,20600,20520
402,1061,1125,20600,20520
402,1125,1061,20600,20520
848,1103,1177,20760,20560
848,1177,1103,20760,20560
553,1075,1089,20720,20600
888,1208,1103,20860,20600
553,1089,1075,20720,20600
888,1103,1208,20860,20600
694,1080,1337,20680,20620
694,1337,1080,20680,20620
206,1040,1228,20800,20660
206,1228,1040,20800,20660
484,1228,1067,20840,20680
318,1189,1049,20760,20680
318,1049,1189,20760,20680
484,1067,1228,20840,20680
403,1061,1125,20820,20700
403,1125,1061,20820,20700
1403,1146,1198,20820,20740
1213,1334,1133,20800,20740
1403,1198,1146,20820,20740
1213,1133,1334,20800,20740
295,1061,1049,20840,20760
295,1049,1061,20840,20760
902,1125,1105,20900,20780
902,1105,1125,20900,20780
1678,1199,1228,20880,20800
181,1040,1136,20860,20800
1678,1228,1199,20880,20800
181,1136,1040,20860,20800
849,1177,1103,21020,20820
849,1103,1177,21020,20820
303,1049,1125,20960,20840
303,1125,1049,20960,20840
935,1105,1181,21000,20860
935,1181,1105,21000,20860
1404,1198,1146,21020,20900
1404,1146,1198,21020,20900
296,1049,1061,21520,20920
757,1142,1089,21100,20920
296,1061,1049,21520,20920
757,1089,1142,21100,20920
1638,1191,1208,21100,20940
554,1075,1089,21500,20940
1638,1208,1191,21100,20940
695,1337,1080,21060,20940
695,1080,1337,21060,20940
554,1089,1075,21500,20940
562,1075,1142,21600,20960
1379,1181,1143,21160,20960
1379,1143,1181,21160,20960
562,1142,1075,21600,20960
404,1061,1125,21140,21000
304,1125,1049,21100,21000
404,1125,1061,21140,21000
304,1049,1125,21100,21000
1214,1334,1133,21120,21060
1214,1133,1334,21120,21060
413,1063,1143,21160,21100
413,1143,1063,21160,21100
867,1191,1103,21340,21120
903,1125,1105,21180,21120
376,1191,1053,21240,21120
850,1177,1103,21180,21120
464,1067,1133,21220,21120
867,1103,1191,21340,21120
850,1103,1177,21180,21120
903,1105,1125,21180,21120
464,1133,1067,21220,21120
376,1053,1191,21240,21120
758,1089,1142,21200,21140
1639,1208,1191,21240,21140
1639,1191,1208,21240,21140
721,1082,1228,21200,21140
721,1228,1082,21200,21140
758,1142,1089,21200,21140
1227,1133,1359,21220,21160
1227,1359,1133,21220,21160
405,1061,1125,21300,21180
405,1125,1061,21300,21180
305,1049,1125,21420,21180
936,1181,1105,21340,21180
1215,1133,1334,21260,21180
305,1125,1049,21420,21180
936,1105,1181,21340,21180
486,1334,1067,21320,21180
1215,1334,1133,21260,21180
486,1067,1334,21320,21180
851,1177,1103,21480,21240
1380,1181,1143,21380,21240
992,1181,1125,21520,21240
992,1125,1181,21520,21240
1380,1143,1181,21380,21240
369,1103,1053,21300,21240
851,1103,1177,21480,21240
722,1082,1228,21340,21240
722,1228,1082,21340,21240
369,1053,1103,21300,21240
904,1105,1125,21340,21260
904,1125,1105,21340,21260
759,1089,1142,21440,21260
759,1142,1089,21440,21260
1405,1146,1198,21340,21280
1405,1198,1146,21340,21280
939,1189,1105,21360,21300
939,1105,1189,21360,21300
1640,1191,1208,21400,21340
406,1125,1061,21620,21340
406,1061,1125,21620,21340
1640,1208,1191,21400,21340
523,1198,1073,21420,21360
523,1073,1198,21420,21360
793,1090,1126,21500,21380
793,1126,1090,21500,21380
377,1053,1191,21560,21480
377,1191,1053,21560,21480
410,1063,1138,21700,21500
410,1138,1063,21700,21500
852,1103,1177,21780,21520
852,1177,1103,21780,21520
1140,1198,1127,21660,21560
905,1125,1105,22060,21560
905,1105,1125,22060,21560
1140,1127,1198,21660,21560
522,1180,1073,21640,21580
522,1073,1180,21640,21580
1641,1191,1208,22000,21580
1641,1208,1191,22000,21580
378,1053,1191,21680,21600
1131,1127,1146,21740,21600
378,1191,1053,21680,21600
1131,1146,1127,21740,21600
563,1142,1075,21700,21640
1667,1358,1193,21700,21640
1667,1193,1358,21700,21640
563,1075,1142,21700,21640
1452,1180,1152,21800,21660
1452,1152,1180,21800,21660
385,1053,1208,21760,21680
868,1103,1191,21820,21680
385,1208,1053,21760,21680
868,1191,1103,21820,21680
889,1208,1103,21780,21700
889,1103,1208,21780,21700
1381,1181,1143,21800,21720
407,1125,1061,21800,21720
1381,1143,1181,21800,21720
407,1061,1125,21800,21720
500,1085,1073,21800,21740
411,1138,1063,21940,21740
919,1143,1105,21840,21740
564,1142,1075,21900,21740
500,1073,1085,21800,21740
564,1075,1142,21900,21740
744,1085,1358,21800,21740
411,1063,1138,21940,21740
919,1105,1143,21840,21740
744,1358,1085,21800,21740
1668,1193,1358,21820,21760
1668,1358,1193,21820,21760
306,1125,1049,21860,21780
306,1049,1125,21860,21780
853,1177,1103,22100,21820
555,1089,1075,21880,21820
853,1103,1177,22100,21820
555,1075,1089,21880,21820
408,1061,1125,22040,21840
408,1125,1061,22040,21840
1382,1143,1181,21960,21840
1382,1181,1143,21960,21840
869,1103,1191,22000,21860
869,1191,1103,22000,21860
498,1075,1073,21980,21880
501,1089,1073,21940,21880
501,1073,1089,21940,21880
498,1073,1075,21980,21880
386,1208,1053,21960,21900
386,1053,1208,21960,21900
1563,1177,1191,22040,21980
940,1105,1189,22100,21980
940,1189,1105,22100,21980
1563,1191,1177,22040,21980
412,1138,1063,22260,22000
412,1063,1138,22260,22000
307,1125,1049,22100,22020
307,1049,1125,22100,22020
794,1090,1126,22120,22060
794,1126,1090,22120,22060
556,1075,1089,22160,22100
205,1199,1040,22320,22100
1642,1208,1191,22220,22100
205,1040,1199,22320,22100
1642,1191,1208,22220,22100
1564,1191,1177,22380,22100
556,1089,1075,22160,22100
1564,1177,1191,22380,22100
854,1103,1177,22440,22140
906,1105,1125,22480,22140
906,1125,1105,22480,22140
178,1040,1114,22240,22140
178,1114,1040,22240,22140
854,1177,1103,22440,22140
387,1092,1056,22240,22180
795,1126,1090,22240,22180
795,1090,1126,22240,22180
387,1056,1092,22240,22180
1540,1214,1171,22260,22200
1540,1171,1214,22260,22200
870,1191,1103,22440,22220
1669,1358,1193,22400,22220
1669,1193,1358,22400,22220
870,1103,1191,22440,22220
760,1142,1089,22300,22240
565,1142,1075,22580,22240
565,1075,1142,22580,22240
760,1089,1142,22300,22240
1303,1138,1171,22320,22260
1303,1171,1138,22320,22260
1233,1155,1135,22340,22280
1233,1135,1155,22340,22280
761,1152,1089,22480,22320
796,1090,1126,22400,22320
796,1126,1090,22400,22320
761,1089,1152,22480,22320
1643,1191,1208,22520,22340
601,1164,1075,22400,22340
601,1075,1164,22400,22340
1643,1208,1191,22520,22340
1565,1177,1191,22480,22420
1565,1191,1177,22480,22420
941,1189,1105,22580,22440
941,1105,1189,22580,22440
544,1360,1073,22620,22480
544,1073,1360,22620,22480
632,1080,1107,22540,22480
632,1107,1080,22540,22480
1304,1138,1171,22740,22520
1304,1171,1138,22740,22520
1461,1337,1152,22760,22560
1461,1152,1337,22760,22560
998,1189,1125,22720,22620
998,1125,1189,22720,22620
1554,1171,1360,22800,22660
1554,1360,1171,22800,22660
1359,1360,1138,22800,22680
1359,1138,1360,22800,22680
1018,1125,1212,22960,22900
1018,1212,1125,22960,22900
1305,1138,1171,22980,22920
1305,1171,1138,22980,22920
762,1089,1152,23500,22940
762,1152,1089,23500,22940
1132,1127,1146,23000,22940
1132,1146,1127,23000,22940
1306,1138,1171,23140,23080
1306,1171,1138,23140,23080
1463,1335,1155,23500,23420
1463,1155,1335,23500,23420
754,1088,1187,23740,23640
658,1152,1080,23780,23640
658,1080,1152,23780,23640
754,1187,1088,23740,23640
1133,1127,1146,23780,23720
1133,1146,1127,23780,23720
1460,1152,1228,24000,23800
764,1228,1089,24040,23800
1460,1228,1152,24000,23800
764,1089,1228,24040,23800
1134,1127,1146,24040,23940
1134,1146,1127,24040,23940
1135,1146,1127,24200,24080
765,1089,1228,24140,24080
765,1228,1089,24140,24080
1135,1127,1146,24200,24080
1019,1212,1125,24200,24120
1019,1125,1212,24200,24120
766,1228,1089,24300,24240
766,1089,1228,24300,24240
719,1199,1082,24320,24260
719,1082,1199,24320,24260
720,1082,1199,24440,24360
720,1199,1082,24440,24360
1776,1360,1334,24480,24420
1776,1334,1360,24480,24420
767,1228,1089,24580,24520
767,1089,1228,24580,24520
768,1089,1228,24920,24680
768,1228,1089,24920,24680
436,1082,1067,24840,24700
436,1067,1082,24840,24700
1644,1191,1208,24920,24820
1644,1208,1191,24920,24820
1102,1126,1198,25020,24960
1102,1198,1126,25020,24960
434,1080,1067,25180,25020
434,1067,1080,25180,25020
660,1162,1080,25140,25060
660,1080,1162,25140,25060
1645,1208,1191,25200,25140
1645,1191,1208,25200,25140
437,1082,1067,25280,25220
437,1067,1082,25280,25220
1029,1125,1336,25380,25260
1029,1336,1125,25380,25260
659,1158,1080,25460,25300
659,1080,1158,25460,25300
438,1082,1067,25440,25340
438,1067,1082,25440,25340
1234,1135,1155,25560,25340
1234,1155,1135,25560,25340
190,1040,1138,25480,25380
999,1189,1125,25520,25380
190,1138,1040,25480,25380
999,1125,1189,25520,25380
696,1337,1080,25520,25460
696,1080,1337,25520,25460
439,1082,1067,25780,25640
439,1067,1082,25780,25640
697,1337,1080,26180,26100
697,1080,1337,26180,26100
1320,1199,1138,26160,26100
1320,1138,1199,26160,26100
194,1040,1158,26500,26180
194,1158,1040,26500,26180
440,1082,1067,26400,26260
440,1067,1082,26400,26260
1152,1133,1138,26580,26500
1152,1138,1133,26580,26500
441,1067,1082,26800,26740
441,1082,1067,26800,26740
442,1067,1082,27280,26840
442,1082,1067,27280,26840
1103,1198,1126,27400,27320
1103,1126,1198,27400,27320
928,1146,1105,27540,27440
928,1105,1146,27540,27440
85,1201,1033,27520,27460
85,1033,1201,27520,27460
191,1040,1138,27840,27500
191,1138,1040,27840,27500
86,1201,1033,27620,27560
443,1067,1082,27800,27560
443,1082,1067,27800,27560
86,1033,1201,27620,27560
87,1033,1201,27760,27700
87,1201,1033,27760,27700
444,1082,1067,27940,27840
444,1067,1082,27940,27840
1030,1336,1125,28060,28000
1000,1125,1189,28060,28000
1000,1189,1125,28060,28000
1030,1125,1336,28060,28000
445,1082,1067,28200,28040
445,1067,1082,28200,28040
1001,1125,1189,28220,28120
1001,1189,1125,28220,28120
1633,1336,1189,28340,28180
1633,1189,1336,28340,28180
1031,1125,1336,28400,28280
1002,1125,1189,28420,28280
170,1039,1162,28340,28280
1002,1189,1125,28420,28280
170,1162,1039,28340,28280
1031,1336,1125,28400,28280
446,1082,1067,28540,28420
446,1067,1082,28540,28420
171,1162,1039,28520,28460
171,1039,1162,28520,28460
1003,1189,1125,28540,28460
1003,1125,1189,28540,28460
1032,1336,1125,28540,28480
1032,1125,1336,28540,28480
1328,1138,1336,28620,28560
1328,1336,1138,28620,28560
1153,1133,1138,29260,28720
1153,1138,1133,29260,28720
651,1080,1125,28940,28840
651,1125,1080,28940,28840
1004,1189,1125,28980,28920
1004,1125,1189,28980,28920
698,1080,1337,29020,28920
698,1337,1080,29020,28920
1323,1138,1334,29120,28960
1323,1334,1138,29120,28960
699,1337,1080,29320,29240
1205,1133,1199,29440,29240
699,1080,1337,29320,29240
1205,1199,1133,29440,29240
192,1138,1040,29700,29420
192,1040,1138,29700,29420
1216,1334,1133,29560,29420
1216,1133,1334,29560,29420
172,1162,1039,29540,29480
172,1039,1162,29540,29480
1217,1334,1133,29740,29640
1217,1133,1334,29740,29640
447,1082,1067,29840,29680
447,1067,1082,29840,29680
1170,1189,1133,29820,29720
1170,1133,1189,29820,29720
627,1080,1104,29900,29740
627,1104,1080,29900,29740
448,1067,1082,29960,29880
448,1082,1067,29960,29880
1171,1189,1133,29980,29920
1171,1133,1189,29980,29920
1156,1133,1158,30060,30000
1156,1158,1133,30060,30000
1484,1162,1156,30240,30160
1484,1156,1162,30240,30160
628,1104,1080,30400,30180
628,1080,1104,30400,30180
949,1109,1142,30360,30200
545,1360,1073,30300,30200
545,1073,1360,30300,30200
1104,1126,1198,30340,30200
1104,1198,1126,30340,30200
949,1142,1109,30360,30200
1599,1179,1214,30340,30260
1599,1214,1179,30340,30260
173,1162,1039,30380,30300
173,1039,1162,30380,30300
1172,1133,1189,30440,30340
1172,1189,1133,30440,30340
723,1082,1334,30460,30340
723,1334,1082,30460,30340
1105,1126,1198,30580,30500
1105,1198,1126,30580,30500
1406,1146,1198,30560,30500
1406,1198,1146,30560,30500
962,1336,1117,30700,30560
962,1117,1336,30700,30560
1173,1189,1133,30700,30640
1173,1133,1189,30700,30640
1060,1126,1146,30840,30720
1060,1146,1126,30840,30720
1646,1191,1208,30840,30740
1646,1208,1191,30840,30740
430,1214,1065,30840,30740
430,1065,1214,30840,30740
1556,1175,1187,30840,30780
1430,1179,1149,30860,30780
1430,1149,1179,30860,30780
1556,1187,1175,30840,30780
1437,1210,1149,30880,30820
1437,1149,1210,30880,30820
871,1103,1191,31100,30840
871,1191,1103,31100,30840
1453,1180,1152,30940,30880
1453,1152,1180,30940,30880
1061,1126,1146,30960,30900
1061,1146,1126,30960,30900
1651,1191,1214,31020,30920
1651,1214,1191,31020,30920
1596,1210,1179,31020,30960
1596,1179,1210,31020,30960
1485,1156,1162,31100,30980
1485,1162,1156,31100,30980
195,1040,1158,31060,31000
507,1126,1073,31060,31000
195,1158,1040,31060,31000
507,1073,1126,31060,31000
546,1360,1073,31160,31040
546,1073,1360,31160,31040
1454,1152,1180,31140,31080
1454,1180,1152,31140,31080
528,1214,1073,31320,31100
528,1073,1214,31320,31100
1754,1360,1214,31380,31300
1754,1214,1360,31380,31300
118,1033,1210,31420,31340
1106,1198,1126,31440,31340
118,1210,1033,31420,31340
1106,1126,1198,31440,31340
1687,1210,1201,31540,31360
1687,1201,1210,31540,31360
529,1214,1073,31620,31440
529,1073,1214,31620,31440
547,1360,1073,31620,31440
547,1073,1360,31620,31440
119,1210,1033,31660,31460
119,1033,1210,31660,31460
872,1103,1191,31680,31520
872,1191,1103,31680,31520
1486,1156,1162,31660,31600
1688,1201,1210,31660,31600
1486,1162,1156,31660,31600
1688,1210,1201,31660,31600
752,1088,1113,31740,31660
752,1113,1088,31740,31660
418,1089,1065,31800,31700
120,1033,1210,31920,31700
120,1210,1033,31920,31700
418,1065,1089,31800,31700
1689,1201,1210,31900,31760
1301,1168,1138,32080,31760
1301,1138,1168,32080,31760
1689,1210,1201,31900,31760
1048,1126,1127,31840,31780
753,1113,1088,31900,31780
753,1088,1113,31900,31780
1664,1227,1193,31840,31780
1664,1193,1227,31840,31780
1048,1127,1126,31840,31780
